province,district_name,emis_number,centre_number,centre_name,quantile,_2021_progressed(%),_2021_total_wrote,_2021_total_archived,_2021_achived,_2022_progressed,_2022_total_wrote,_2022_total_archived,_2022_achived,_2023_progressed,_2023_total_wrote,_2023total_archeive,_2023_achieved(%)
EASTERN CAPE,ALFRED NZO WEST,200501001,4251054,Osborn Senior Secondary School,2,10,302,254,84.1,0,292,273,93.5,8,309,291,94.2
EASTERN CAPE,ALFRED NZO WEST,200501431,4251055,Phumelele Commercial & Technical Sch,2,0,17,15,88.2,1,20,19,95.0,3,24,24,100.0
EASTERN CAPE,ALFRED NZO WEST,200501023,4251091,Phuthalichaba T H S,99,0,49,35,71.4,0,84,77,91.7,1,82,74,90.2
EASTERN CAPE,ALFRED NZO WEST,200501057,4251056,Ralebitso Senior Secondary School,1,1,26,18,69.2,0,18,17,94.4,11,41,35,85.4
EASTERN CAPE,ALFRED NZO WEST,200501058,4251057,Ramafole Senior Secondary School,2,36,161,119,73.9,2,138,127,92.0,1,131,123,93.9
EASTERN CAPE,ALFRED NZO WEST,200501070,4251058,Rode Senior Secondary School,2,0,92,78,84.8,0,68,66,97.1,1,74,70,94.6
EASTERN CAPE,ALFRED NZO WEST,200501082,4251059,Sapukanduku Senior Secondary School,2,2,96,61,63.5,4,124,73,58.9,0,111,75,67.6
EASTERN CAPE,ALFRED NZO WEST,200501087,4251060,Senyukele Senior Secondary School,2,32,297,242,81.5,26,218,192,88.1,9,233,210,90.1
EASTERN CAPE,ALFRED NZO WEST,200501091,4251061,Sibi Senior Secondary School,2,22,57,32,56.1,12,54,50,92.6,8,54,54,100.0
EASTERN CAPE,ALFRED NZO WEST,200500308,4251092,Sinakho Senior Secondary School,99,,,,,1,46,43,93.5,0,38,33,86.8
EASTERN CAPE,ALFRED NZO WEST,200501449,4253001,Sive Special School,3,1,9,1,11.1,0,4,1,25.0,1,3,2,66.7
EASTERN CAPE,ALFRED NZO WEST,200501143,4251063,Sonqishe Senior Secondary School,1,2,119,92,77.3,11,140,135,96.4,0,167,155,92.8
EASTERN CAPE,ALFRED NZO WEST,200501157,4251064,St Georges Senior Secondary School,3,4,186,116,62.4,0,173,152,87.9,0,238,193,81.1
EASTERN CAPE,ALFRED NZO WEST,200501159,4251065,St Margaret Senior Secondary School,2,41,124,61,49.2,53,88,68,77.3,57,116,85,73.3
EASTERN CAPE,ALFRED NZO WEST,200500726,4251066,St Marks Technical High School,1,0,69,60,87.0,0,23,20,87.0,0,88,83,94.3
EASTERN CAPE,ALFRED NZO WEST,200501171,4251067,Sukude Senior Secondary School,1,0,134,113,84.3,0,142,115,81.0,12,292,268,91.8
